Event;Start;End
Deployment/Recover time ;12.07.2025 8:35:00;12.07.2025 19:45:00
Bridge up/down;12.07.2025 8:35:00;12.07.2025 19:42:00
Salinity_sampling;12.07.2025 08:39:00;12.07.2025 08:41:00
Halobates_close_Meteor;12.07.2025 08:55:00;12.07.2025 08:55:00
driving;12.07.2025 09:12:00;2.07.2025 09:12:00
Canister_sampling ;12.07.2025 09:38:00;12.07.2025 09:40:00
Canister_sampling ;12.07.2025 10:29:00;12.07.2025 10:30:00
Canister_sampling ;12.07.2025 18:54:00;12.07.2025 18:55:00
salinity_ph_sampling;12.07.2025 19:29:00;12.07.2025 19:37:00
