Event;Start;End
Deployment/Recover time ;13.07.2025 09:07:00;13.07.2025 18:50:00
Bridge up/down;13.07.2025 09:07:00;13.07.2025 18:45:00
Intervention ;13.07.2025 09:17:00;13.07.2025 09:27:00
Intervention ;13.07.2025 10:11:00;13.07.2025 10:13:00
Intervention ;13.07.2025 10:38:00;13.07.2025 10:40:00
Intervention ;13.07.2025 14:22:00;13.07.2025 14:54:00
Intervention ;13.07.2025 18:39:00;13.07.2025 18:42:00
