Event;Start;End
Deployment/Recover time ;29.06.2025 07:14:00;30.06.2025 9:10:00
Bridge up/down;29.06.2025 7:14:00;30.06.2025 8:54:00
Intervention;29.06.2025 7:14:00;29.06.2025 9:15:00
Intervention;29.06.2025 13:09:00;29.06.2025 13:15:00
Intervention;29.06.2025 14:13:00;29.06.2025 14:15:00
Intervention;29.06.2025 14:32:00;29.06.2025 14:36:00
Intervention;29.06.2025 18:38:00;29.06.2025 18:48:00
Intervention;30.06.2025 8:42:00;30.06.2025 8:54:00
