Event;Start;End
Deployment/Recover time ;03.07.2025 20:15:00;4.7.2025 18:39:00
Bridge up/down;3.7.2025 20:16:00;4.7.2025 18:21:00
Halobates_close_meteor;3.7.2025 20:18:00;3.7.2025 20:20:00
Boat_near_Halo ;4.7.2025 17:47:00;4.7.2025 17:51:00
