Event;Start;End
Deployment/Recover time ;08.27.2025 8:10:00;08.07.2025 16:30:00
Bridge up/down;08.07.2025 8:28:00;08.07.2025 15:25:00
Intervention;08.07.2025 8:49:00;08.07.2025 9:06:00
Intervention;08.07.2025 10:12:00;08.07.2025 10:14:00
Intervention;08.07.2025 11:13:00;08.07.2025 11:16:00
Intervention;08.07.2025 14:05:00;08.07.2025 14:12:00
Intervention;08.07.2025 15:11:00;08.07.2025 15:20:00
