Event;Start;End
Deployment/Recover time ;14.07.2025 08:20:00;14.07.2025 20:10:00
Bridge up/down;14.07.2025 08:21:00;14.07.2025 20:09:00
Intervention ;14.07.2025 08:36:00;14.07.2025 08:39:00
Intervention ;14.07.2025 08:46:00;14.07.2025 08:48:00
Intervention ;14.07.2025 09:37:00;14.07.2025 09:41:00
Intervention ;14.07.2025 10:16:00;14.07.2025 10:21:00
Intervention ;14.07.2025 13:53:00;14.07.2025 13:55:00
Intervention ;14.07.2025 19:16:00;14.07.2025 19:19:00
Intervention ;14.07.2025 20:02:00;14.07.2025 20:07:00
