Event;Start;End
Deployment/Recover time ;06.07.2025 8:10:00;06.07.2025 21:20:00
Bridge up/down;06.07.2025 8:11:00;06.07.2025 20:29:00
Intervention;06.07.2025 8:11:00;06.07.2025 8:22:00
Intervention;06.07.2025 10:16:00;06.07.2025 10:20:00
Intervention;06.07.2025 14:33:00;06.07.2025 14:37:00
Intervention;06.07.2025 15:42:00;06.07.2025 15:46:00
Intervention;06.07.2025 20:14:00;06.07.2025 20:29:00
