Event;Start;End
Deployment/Recover time ;11.07.2025 12:43:00;11.07.2025 17:25:00
Bridge up/down;11.07.2025 12:43:00;11.07.2025 17:19:00
Intervention ;11.07.2025 13:11:00;11.07.2025 13:30:00
Intervention ;11.07.2025 14:01:00;11.07.2025 14:27:00
Intervention ;11.07.2025 16:38:00;11.07.2025 16:40:00
Intervention ;11.07.2025 16:50:00;11.07.2025 16:53:00
Intervention ;11.07.2025 17:02:00;11.07.2025 17:14:00
