Event;Start;End
Deployment/Recover time ;02.07.2025 7:48:00;03.07.2025 8:20:00
Bridge up/down;02.07.2025 7:48:00;03.07.2025 8:18:00
Intervention;02.07.2025 8:04:00;02.07.2025 8:10:00
Intervention;02.07.2025 08:59:00;02.07.2025 09:19:00
Intervention;02.07.2025 10:20:00;02.07.2025 10:21:00
Intervention;02.07.2025 19:09:00;02.07.2025 19:32:00
Deployment/Recover time ;03.07.2025 11:00:00;03.07.2025 16:31:00
Bridge up/down;03.07.2025 11:10:00;03.07.2025 16:31:00
Intervention;03.07.2025 11:36:00;03.07.2025 11:37:00
Intervention;03.07.2025 14:35:00;03.07.2025 14:36:00
Intervention;03.07.2025 15:28:00;03.07.2025 15:35:00
Intervention;03.07.2025 16:25:00;03.07.2025 16:28:00
Deployment/Recover time ;03.07.2025 20:15:00;04.07.2025 18:39:00
Bridge up/down;03.07.2025 20:16:00;04.07.2025 18:21:00
Intervention;04.07.2025 17:47:00;04.07.2025 17:51:00
