Date; Target(°C); Sensor(°C)
Jul 9 2025 12:30:01 PM; 27,27; 25,423
Jul 9 2025 12:30:02 PM; 27,088; 25,423
Jul 9 2025 12:30:03 PM; 27,088; 25,422
Jul 9 2025 12:30:04 PM; 27,013; 25,422
Jul 9 2025 12:30:05 PM; 26,935; 25,422
Jul 9 2025 12:30:06 PM; 27,012; 25,421
Jul 9 2025 12:30:07 PM; 27,066; 25,42
Jul 9 2025 12:30:08 PM; 27,108; 25,42
Jul 9 2025 12:30:09 PM; 27,137; 25,42
Jul 9 2025 12:30:10 PM; 27,261; 25,42
Jul 9 2025 12:30:11 PM; 27,258; 25,419
Jul 9 2025 12:30:12 PM; 27,282; 25,419
Jul 9 2025 12:30:13 PM; 27,312; 25,418
Jul 9 2025 12:30:14 PM; 27,343; 25,418
Jul 9 2025 12:30:15 PM; 27,196; 25,417
Jul 9 2025 12:30:16 PM; 27,281; 25,417
Jul 9 2025 12:30:17 PM; 27,465; 25,417
Jul 9 2025 12:30:18 PM; 27,354; 25,416
Jul 9 2025 12:30:19 PM; 27,393; 25,416
Jul 9 2025 12:30:20 PM; 27,492; 25,416
Jul 9 2025 12:30:21 PM; 27,502; 25,416
Jul 9 2025 12:30:22 PM; 27,406; 25,416
Jul 9 2025 12:30:23 PM; 27,428; 25,416
Jul 9 2025 12:30:24 PM; 27,381; 25,416
Jul 9 2025 12:30:25 PM; 27,437; 25,416
Jul 9 2025 12:30:26 PM; 27,407; 25,416
Jul 9 2025 12:30:27 PM; 27,508; 25,416
Jul 9 2025 12:30:28 PM; 27,366; 25,416
Jul 9 2025 12:30:29 PM; 27,418; 25,416
Jul 9 2025 12:30:30 PM; 27,512; 25,417
Jul 9 2025 12:30:31 PM; 27,52; 25,417
Jul 9 2025 12:30:32 PM; 27,477; 25,418
Jul 9 2025 12:30:33 PM; 27,436; 25,418
Jul 9 2025 12:30:34 PM; 27,584; 25,418
Jul 9 2025 12:30:35 PM; 27,549; 25,419
Jul 9 2025 12:30:36 PM; 27,665; 25,419
