date time	WEATHER.PBWWI.AirPress	WEATHER.PBWWI.AirPressureBar	WEATHER.PBWWI.AirTempPort	WEATHER.PBWWI.AirTempStarboard	WEATHER.PBWWI.HumidityPort	WEATHER.PBWWI.HumidityStarboard	WEATHER.PBWWI.TrueWindDir	WEATHER.PBWWI.RealWindDir	WEATHER.PBWWI.TrueWindSpeed	WEATHER.PBWWI.RelWindSpeed
	spot	spot	spot	spot	spot	spot	spot	spot	spot	spot
	hPa	bar	°C	°C	%	%	°	°	m/s	m/s
2025/07/17 15:39:00	1014.5	1.0	27.6	28.2	77.0	75.0	176.0	323.0	2.7	3.0
2025/07/17 15:39:01	1014.5	1.0	27.6	28.2	77.0	75.0	172.0	321.0	2.8	3.1
2025/07/17 15:39:02	1014.5	1.0	27.6	28.2	77.0	75.0	172.0	321.0	2.7	3.1
2025/07/17 15:39:03	1014.5	1.0	27.6	28.2	77.0	75.0	177.0	325.0	2.6	2.9
2025/07/17 15:39:04	1014.5	1.0	27.6	28.2	77.0	75.0	185.0	331.0	2.5	2.8
2025/07/17 15:39:05	1014.5	1.0	27.6	28.2	77.0	75.0	188.0	335.0	2.4	2.8
2025/07/17 15:39:06	1014.5	1.0	27.6	28.2	77.0	75.0	188.0	335.0	2.3	2.7
2025/07/17 15:39:07	1014.5	1.0	27.6	28.2	77.0	75.0	182.0	330.0	2.4	2.7
2025/07/17 15:39:08	1014.5	1.0	27.6	28.2	77.0	75.0	174.0	322.0	2.7	3.0
2025/07/17 15:39:09	1014.5	1.0	27.6	28.2	78.0	75.0	176.0	323.0	2.9	3.3
2025/07/17 15:39:10	1014.5	1.0	27.6	28.2	78.0	75.0	181.0	328.0	2.8	3.1
2025/07/17 15:39:11	1014.5	1.0	27.6	28.2	78.0	75.0	193.0	337.0	2.5	2.7
2025/07/17 15:39:12	1014.5	1.0	27.6	28.2	77.0	75.0	200.0	343.0	2.3	2.5
2025/07/17 15:39:13	1014.5	1.0	27.6	28.2	77.0	75.0	197.0	342.0	2.4	2.7
2025/07/17 15:39:14	1014.5	1.0	27.6	28.2	77.0	75.0	196.0	341.0	2.8	3.2
2025/07/17 15:39:15	1014.5	1.0	27.6	28.2	77.0	75.0	193.0	339.0	2.9	3.4
2025/07/17 15:39:16	1014.5	1.0	27.6	28.2	77.0	75.0	186.0	334.0	2.6	3.0
2025/07/17 15:39:17	1014.5	1.0	27.6	28.2	78.0	75.0	185.0	332.0	2.3	2.7
2025/07/17 15:39:18	1014.5	1.0	27.6	28.2	78.0	75.0	191.0	337.0	2.3	2.6
2025/07/17 15:39:19	1014.5	1.0	27.6	28.2	78.0	76.0	199.0	343.0	2.5	2.8
2025/07/17 15:39:20	1014.5	1.0	27.6	28.2	78.0	76.0	203.0	347.0	2.9	3.1
2025/07/17 15:39:21	1014.5	1.0	27.6	28.2	78.0	76.0	197.0	342.0	2.8	3.1
2025/07/17 15:39:22	1014.5	1.0	27.6	28.2	78.0	76.0	184.0	331.0	2.5	2.9
2025/07/17 15:39:23	1014.5	1.0	27.7	28.2	78.0	76.0	178.0	327.0	2.4	2.8
2025/07/17 15:39:24	1014.5	1.0	27.7	28.2	78.0	76.0	175.0	324.0	2.7	3.1
2025/07/17 15:39:25	1014.5	1.0	27.7	28.2	78.0	76.0	178.0	326.0	2.8	3.2
