date time	WEATHER.PBWWI.AirPress	WEATHER.PBWWI.AirPressureBar	WEATHER.PBWWI.AirTempPort	WEATHER.PBWWI.AirTempStarboard	WEATHER.PBWWI.HumidityPort	WEATHER.PBWWI.HumidityStarboard	WEATHER.PBWWI.TrueWindDir	WEATHER.PBWWI.RealWindDir	WEATHER.PBWWI.TrueWindSpeed	WEATHER.PBWWI.RelWindSpeed
	spot	spot	spot	spot	spot	spot	spot	spot	spot	spot
	hPa	bar	°C	°C	%	%	°	°	m/s	m/s
2025/07/14 18:34:00	1014.0	1.0	27.5	27.6	83.0	82.0	32.0	2.0	9.5	9.5
2025/07/14 18:34:01	1014.0	1.0	27.5	27.6	83.0	82.0	33.0	3.0	9.6	9.6
2025/07/14 18:34:02	1014.0	1.0	27.5	27.6	83.0	82.0	35.0	5.0	9.6	9.6
2025/07/14 18:34:03	1014.0	1.0	27.5	27.6	83.0	82.0	36.0	6.0	9.6	9.6
2025/07/14 18:34:04	1014.0	1.0	27.5	27.6	83.0	82.0	34.0	4.0	9.4	9.4
2025/07/14 18:34:05	1014.0	1.0	27.5	27.6	83.0	82.0	31.0	1.0	9.1	9.4
2025/07/14 18:34:06	1014.0	1.0	27.5	27.6	83.0	82.0	28.0	358.0	9.5	9.5
2025/07/14 18:34:07	1014.0	1.0	27.5	27.6	83.0	82.0	25.0	355.0	9.1	9.1
2025/07/14 18:34:08	1014.0	1.0	27.5	27.6	83.0	82.0	23.0	353.0	9.1	9.1
2025/07/14 18:34:09	1014.0	1.0	27.5	27.6	83.0	82.0	23.0	353.0	9.8	9.8
2025/07/14 18:34:10	1014.0	1.0	27.5	27.6	83.0	82.0	23.0	353.0	10.1	10.1
2025/07/14 18:34:11	1014.0	1.0	27.5	27.6	83.0	82.0	25.0	354.0	10.1	10.1
2025/07/14 18:34:12	1014.0	1.0	27.5	27.6	83.0	82.0	27.0	357.0	9.8	9.8
2025/07/14 18:34:13	1014.0	1.0	27.5	27.6	83.0	82.0	29.0	358.0	9.5	9.5
2025/07/14 18:34:14	1014.0	1.0	27.5	27.6	83.0	82.0	33.0	2.0	9.3	9.3
2025/07/14 18:34:15	1014.0	1.0	27.5	27.6	83.0	82.0	37.0	7.0	9.2	9.5
2025/07/14 18:34:16	1014.0	1.0	27.5	27.6	83.0	82.0	38.0	8.0	9.9	9.9
2025/07/14 18:34:17	1014.0	1.0	27.5	27.6	83.0	82.0	36.0	6.0	9.8	9.8
2025/07/14 18:34:18	1014.0	1.0	27.5	27.6	83.0	82.0	33.0	3.0	9.2	9.2
2025/07/14 18:34:19	1014.0	1.0	27.5	27.6	83.0	82.0	32.0	1.0	8.8	8.8
2025/07/14 18:34:20	1014.0	1.0	27.5	27.6	83.0	82.0	28.0	357.0	8.5	8.5
2025/07/14 18:34:21	1014.0	1.0	27.5	27.6	83.0	82.0	25.0	355.0	8.7	8.7
2025/07/14 18:34:22	1014.0	1.0	27.5	27.6	83.0	82.0	24.0	354.0	9.6	9.6
2025/07/14 18:34:23	1014.0	1.0	27.5	27.6	83.0	82.0	22.0	352.0	10.1	10.1
2025/07/14 18:34:24	1014.0	1.0	27.5	27.6	83.0	82.0	22.0	352.0	9.9	9.9
2025/07/14 18:34:25	1014.0	1.0	27.5	27.6	83.0	82.0	25.0	354.0	9.4	9.4
