Date; Target(°C); Sensor(°C)
Jul 11 2025 12:02:09 PM; 24,804; 27,781
Jul 11 2025 12:02:10 PM; 24,796; 27,782
Jul 11 2025 12:02:11 PM; 24,834; 27,783
Jul 11 2025 12:02:12 PM; 24,794; 27,783
Jul 11 2025 12:02:13 PM; 24,788; 27,784
Jul 11 2025 12:02:14 PM; 24,764; 27,784
Jul 11 2025 12:02:15 PM; 24,724; 27,785
Jul 11 2025 12:02:16 PM; 24,762; 27,785
Jul 11 2025 12:02:17 PM; 24,74; 27,786
Jul 11 2025 12:02:18 PM; 24,729; 27,787
Jul 11 2025 12:02:19 PM; 24,82; 27,787
Jul 11 2025 12:02:20 PM; 24,843; 27,788
Jul 11 2025 12:02:21 PM; 24,888; 27,789
Jul 11 2025 12:02:22 PM; 24,872; 27,79
Jul 11 2025 12:02:23 PM; 24,88; 27,791
Jul 11 2025 12:02:24 PM; 24,817; 27,791
Jul 11 2025 12:02:25 PM; 24,79; 27,792
Jul 11 2025 12:02:26 PM; 24,754; 27,793
Jul 11 2025 12:02:27 PM; 24,688; 27,793
Jul 11 2025 12:02:28 PM; 24,805; 27,794
Jul 11 2025 12:02:29 PM; 24,915; 27,795
Jul 11 2025 12:02:30 PM; 24,878; 27,796
Jul 11 2025 12:02:31 PM; 24,801; 27,796
Jul 11 2025 12:02:32 PM; 24,874; 27,797
Jul 11 2025 12:02:33 PM; 24,815; 27,798
Jul 11 2025 12:02:34 PM; 24,747; 27,799
Jul 11 2025 12:02:35 PM; 24,758; 27,8
Jul 11 2025 12:02:36 PM; 24,698; 27,8
Jul 11 2025 12:02:37 PM; 24,724; 27,801
Jul 11 2025 12:02:38 PM; 24,856; 27,801
Jul 11 2025 12:02:39 PM; 24,857; 27,802
Jul 11 2025 12:02:40 PM; 24,832; 27,803
Jul 11 2025 12:02:41 PM; 24,802; 27,803
Jul 11 2025 12:02:42 PM; 24,727; 27,804
Jul 11 2025 12:02:43 PM; 24,756; 27,805
Jul 11 2025 12:02:44 PM; 24,797; 27,805
Jul 11 2025 12:02:45 PM; 24,87; 27,806
Jul 11 2025 12:02:46 PM; 24,858; 27,806
Jul 11 2025 12:02:47 PM; 24,896; 27,807
Jul 11 2025 12:02:48 PM; 24,906; 27,808
Jul 11 2025 12:02:49 PM; 24,938; 27,808
Jul 11 2025 12:02:50 PM; 24,948; 27,809
Jul 11 2025 12:02:51 PM; 24,902; 27,81
Jul 11 2025 12:02:52 PM; 24,872; 27,811
Jul 11 2025 12:02:53 PM; 24,866; 27,812
Jul 11 2025 12:02:54 PM; 24,927; 27,813
Jul 11 2025 12:02:55 PM; 24,844; 27,814
Jul 11 2025 12:02:56 PM; 24,863; 27,815
Jul 11 2025 12:02:57 PM; 24,873; 27,815
Jul 11 2025 12:02:58 PM; 24,874; 27,816
Jul 11 2025 12:02:59 PM; 24,916; 27,817
Jul 11 2025 12:03:00 PM; 24,898; 27,818
Jul 11 2025 12:03:01 PM; 24,976; 27,819
Jul 11 2025 12:03:02 PM; 24,959; 27,82
Jul 11 2025 12:03:03 PM; 24,951; 27,821
Jul 11 2025 12:03:04 PM; 24,923; 27,822
Jul 11 2025 12:03:05 PM; 24,924; 27,822
Jul 11 2025 12:03:06 PM; 24,928; 27,824
Jul 11 2025 12:03:07 PM; 24,898; 27,824
Jul 11 2025 12:03:08 PM; 24,88; 27,825
Jul 11 2025 12:03:09 PM; 24,932; 27,827
Jul 11 2025 12:03:10 PM; 24,967; 27,828
Jul 11 2025 12:03:11 PM; 24,921; 27,829
Jul 11 2025 12:03:12 PM; 24,944; 27,83
Jul 11 2025 12:03:13 PM; 24,87; 27,831
Jul 11 2025 12:03:14 PM; 24,977; 27,832
Jul 11 2025 12:03:15 PM; 24,994; 27,833
Jul 11 2025 12:03:16 PM; 24,933; 27,834
Jul 11 2025 12:03:17 PM; 24,959; 27,835
Jul 11 2025 12:03:18 PM; 25,094; 27,836
Jul 11 2025 12:03:19 PM; 25,008; 27,838
Jul 11 2025 12:03:20 PM; 25,069; 27,839
Jul 11 2025 12:03:21 PM; 24,992; 27,84
Jul 11 2025 12:03:22 PM; 24,903; 27,841
Jul 11 2025 12:03:23 PM; 24,901; 27,842
Jul 11 2025 12:03:24 PM; 24,927; 27,844
Jul 11 2025 12:03:25 PM; 24,962; 27,845
Jul 11 2025 12:03:26 PM; 24,904; 27,846
Jul 11 2025 12:03:27 PM; 24,871; 27,847
Jul 11 2025 12:03:28 PM; 24,872; 27,848
Jul 11 2025 12:03:29 PM; 24,917; 27,85
Jul 11 2025 12:03:30 PM; 24,977; 27,85
Jul 11 2025 12:03:31 PM; 25,038; 27,852
Jul 11 2025 12:03:32 PM; 25,095; 27,853
Jul 11 2025 12:03:33 PM; 24,965; 27,854
Jul 11 2025 12:03:34 PM; 24,979; 27,855
Jul 11 2025 12:03:35 PM; 24,867; 27,856
Jul 11 2025 12:03:36 PM; 24,816; 27,857
Jul 11 2025 12:03:37 PM; 24,855; 27,859
Jul 11 2025 12:03:38 PM; 24,837; 27,86
Jul 11 2025 12:03:39 PM; 24,904; 27,861
Jul 11 2025 12:03:40 PM; 24,78; 27,862
Jul 11 2025 12:03:41 PM; 24,731; 27,863
Jul 11 2025 12:03:42 PM; 24,798; 27,864
Jul 11 2025 12:03:43 PM; 24,927; 27,865
Jul 11 2025 12:03:44 PM; 24,946; 27,866
Jul 11 2025 12:03:45 PM; 24,844; 27,867
Jul 11 2025 12:03:46 PM; 24,924; 27,868
Jul 11 2025 12:03:47 PM; 24,868; 27,869
Jul 11 2025 12:03:48 PM; 24,759; 27,87
Jul 11 2025 12:03:49 PM; 24,766; 27,87
Jul 11 2025 12:03:50 PM; 24,861; 27,871
Jul 11 2025 12:03:51 PM; 24,865; 27,872
Jul 11 2025 12:03:52 PM; 24,903; 27,872
Jul 11 2025 12:03:53 PM; 24,929; 27,873
Jul 11 2025 12:03:54 PM; 24,827; 27,874
Jul 11 2025 12:03:55 PM; 24,808; 27,875
Jul 11 2025 12:03:56 PM; 24,793; 27,875
Jul 11 2025 12:03:57 PM; 24,853; 27,876
Jul 11 2025 12:03:58 PM; 24,967; 27,877
Jul 11 2025 12:03:59 PM; 24,998; 27,877
Jul 11 2025 12:04:00 PM; 24,937; 27,878
Jul 11 2025 12:04:01 PM; 24,903; 27,879
Jul 11 2025 12:04:02 PM; 24,857; 27,879
Jul 11 2025 12:04:03 PM; 24,83; 27,88
Jul 11 2025 12:04:04 PM; 24,812; 27,881
Jul 11 2025 12:04:05 PM; 24,818; 27,881
Jul 11 2025 12:04:06 PM; 24,816; 27,882
Jul 11 2025 12:04:07 PM; 24,829; 27,883
Jul 11 2025 12:04:08 PM; 24,82; 27,883
Jul 11 2025 12:04:09 PM; 24,804; 27,883
Jul 11 2025 12:04:10 PM; 24,852; 27,884
Jul 11 2025 12:04:11 PM; 24,909; 27,885
Jul 11 2025 12:04:12 PM; 24,863; 27,886
Jul 11 2025 12:04:13 PM; 24,81; 27,886
Jul 11 2025 12:04:14 PM; 24,836; 27,887
Jul 11 2025 12:04:15 PM; 24,805; 27,887
Jul 11 2025 12:04:16 PM; 24,815; 27,888
Jul 11 2025 12:04:17 PM; 24,894; 27,888
Jul 11 2025 12:04:18 PM; 24,854; 27,889
Jul 11 2025 12:04:19 PM; 24,855; 27,89
Jul 11 2025 12:04:20 PM; 24,768; 27,891
Jul 11 2025 12:04:21 PM; 24,824; 27,891
Jul 11 2025 12:04:22 PM; 24,791; 27,892
Jul 11 2025 12:04:23 PM; 24,814; 27,893
Jul 11 2025 12:04:24 PM; 24,777; 27,894
Jul 11 2025 12:04:25 PM; 24,784; 27,894
Jul 11 2025 12:04:26 PM; 24,769; 27,894
Jul 11 2025 12:04:27 PM; 24,816; 27,895
Jul 11 2025 12:04:28 PM; 24,926; 27,896
Jul 11 2025 12:04:29 PM; 24,936; 27,896
Jul 11 2025 12:04:30 PM; 24,887; 27,897
Jul 11 2025 12:04:31 PM; 24,8; 27,898
Jul 11 2025 12:04:32 PM; 24,77; 27,898
Jul 11 2025 12:04:33 PM; 24,802; 27,899
Jul 11 2025 12:04:34 PM; 24,959; 27,9
Jul 11 2025 12:04:35 PM; 24,888; 27,901
Jul 11 2025 12:04:36 PM; 24,92; 27,902
Jul 11 2025 12:04:37 PM; 24,909; 27,903
Jul 11 2025 12:04:38 PM; 24,894; 27,904
Jul 11 2025 12:04:39 PM; 24,957; 27,904
Jul 11 2025 12:04:40 PM; 24,896; 27,906
Jul 11 2025 12:04:41 PM; 24,909; 27,907
Jul 11 2025 12:04:42 PM; 24,879; 27,908
Jul 11 2025 12:04:43 PM; 24,886; 27,908
Jul 11 2025 12:04:44 PM; 24,722; 27,91
Jul 11 2025 12:04:45 PM; 24,77; 27,911
Jul 11 2025 12:04:46 PM; 24,865; 27,912
Jul 11 2025 12:04:47 PM; 24,813; 27,913
Jul 11 2025 12:04:48 PM; 24,883; 27,914
Jul 11 2025 12:04:49 PM; 24,978; 27,916
Jul 11 2025 12:04:50 PM; 25,016; 27,917
Jul 11 2025 12:04:51 PM; 24,868; 27,918
Jul 11 2025 12:04:52 PM; 24,882; 27,92
Jul 11 2025 12:04:53 PM; 24,729; 27,92
Jul 11 2025 12:04:54 PM; 24,722; 27,922
Jul 11 2025 12:04:55 PM; 24,732; 27,923
Jul 11 2025 12:04:56 PM; 24,698; 27,924
Jul 11 2025 12:04:57 PM; 24,831; 27,925
Jul 11 2025 12:04:58 PM; 24,864; 27,927
Jul 11 2025 12:04:59 PM; 24,928; 27,928
Jul 11 2025 12:05:00 PM; 24,838; 27,929
Jul 11 2025 12:05:01 PM; 24,799; 27,931
Jul 11 2025 12:05:02 PM; 24,844; 27,932
Jul 11 2025 12:05:03 PM; 24,783; 27,933
Jul 11 2025 12:05:04 PM; 24,756; 27,935
Jul 11 2025 12:05:05 PM; 24,786; 27,936
Jul 11 2025 12:05:06 PM; 24,84; 27,937
Jul 11 2025 12:05:07 PM; 24,744; 27,938
Jul 11 2025 12:05:08 PM; 24,623; 27,939
Jul 11 2025 12:05:09 PM; 24,592; 27,94
Jul 11 2025 12:05:10 PM; 24,59; 27,941
Jul 11 2025 12:05:11 PM; 24,531; 27,942
Jul 11 2025 12:05:12 PM; 24,67; 27,945
Jul 11 2025 12:05:13 PM; 24,743; 27,944
Jul 11 2025 12:05:14 PM; 24,854; 27,945
Jul 11 2025 12:05:15 PM; 24,877; 27,946
Jul 11 2025 12:05:16 PM; 24,89; 27,947
Jul 11 2025 12:05:17 PM; 24,863; 27,948
Jul 11 2025 12:05:18 PM; 24,871; 27,949
Jul 11 2025 12:05:19 PM; 24,772; 27,95
Jul 11 2025 12:05:20 PM; 24,77; 27,952
Jul 11 2025 12:05:21 PM; 24,781; 27,953
Jul 11 2025 12:05:22 PM; 24,848; 27,954
Jul 11 2025 12:05:23 PM; 24,745; 27,955
Jul 11 2025 12:05:24 PM; 24,769; 27,957
Jul 11 2025 12:05:25 PM; 24,811; 27,958
Jul 11 2025 12:05:26 PM; 24,906; 27,959
Jul 11 2025 12:05:27 PM; 24,895; 27,961
Jul 11 2025 12:05:28 PM; 24,931; 27,962
Jul 11 2025 12:05:29 PM; 24,948; 27,963
Jul 11 2025 12:05:30 PM; 24,833; 27,965
Jul 11 2025 12:05:31 PM; 24,816; 27,966
Jul 11 2025 12:05:32 PM; 24,902; 27,968
Jul 11 2025 12:05:33 PM; 24,9; 27,969
Jul 11 2025 12:05:34 PM; 24,867; 27,97
Jul 11 2025 12:05:35 PM; 24,959; 27,972
Jul 11 2025 12:05:36 PM; 24,939; 27,973
Jul 11 2025 12:05:37 PM; 24,997; 27,975
Jul 11 2025 12:05:38 PM; 24,958; 27,977
Jul 11 2025 12:05:39 PM; 24,929; 27,978
Jul 11 2025 12:05:40 PM; 24,886; 27,98
Jul 11 2025 12:05:41 PM; 24,794; 27,981
Jul 11 2025 12:05:42 PM; 24,914; 27,982
Jul 11 2025 12:05:43 PM; 24,95; 27,984
Jul 11 2025 12:05:44 PM; 24,898; 27,985
Jul 11 2025 12:05:45 PM; 24,867; 27,986
Jul 11 2025 12:05:46 PM; 24,953; 27,987
Jul 11 2025 12:05:47 PM; 24,948; 27,988
Jul 11 2025 12:05:48 PM; 24,831; 27,99
Jul 11 2025 12:05:49 PM; 24,92; 27,991
Jul 11 2025 12:05:50 PM; 24,874; 27,992
Jul 11 2025 12:05:51 PM; 24,91; 27,994
Jul 11 2025 12:05:52 PM; 24,889; 27,995
Jul 11 2025 12:05:53 PM; 25,01; 27,997
Jul 11 2025 12:05:54 PM; 25,068; 27,998
Jul 11 2025 12:05:55 PM; 25,015; 27,999
Jul 11 2025 12:05:56 PM; 24,97; 28,001
Jul 11 2025 12:05:57 PM; 25,006; 28,002
Jul 11 2025 12:05:58 PM; 24,973; 28,004
Jul 11 2025 12:05:59 PM; 24,934; 28,005
Jul 11 2025 12:06:00 PM; 24,992; 28,007
Jul 11 2025 12:06:01 PM; 24,99; 28,008
Jul 11 2025 12:06:02 PM; 25,054; 28,01
Jul 11 2025 12:06:03 PM; 24,965; 28,011
Jul 11 2025 12:06:04 PM; 24,96; 28,012
Jul 11 2025 12:06:05 PM; 24,989; 28,014
Jul 11 2025 12:06:06 PM; 24,984; 28,015
Jul 11 2025 12:06:07 PM; 25,021; 28,017
Jul 11 2025 12:06:08 PM; 25,037; 28,018
Jul 11 2025 12:06:09 PM; 24,976; 28,019
Jul 11 2025 12:06:10 PM; 24,959; 28,021
Jul 11 2025 12:06:11 PM; 25,006; 28,021
Jul 11 2025 12:06:12 PM; 24,93; 28,023
Jul 11 2025 12:06:13 PM; 24,887; 28,024
Jul 11 2025 12:06:14 PM; 24,957; 28,025
