Time,SST (°C)
2025-06-26 05:35:00,22.69129229347077
2025-06-26 05:36:00,22.722967754922447
2025-06-26 05:37:00,22.733143386563434
2025-06-26 05:38:00,22.73234226649743
2025-06-26 05:39:00,22.714660133069902
2025-06-26 05:40:00,22.734217450150204
2025-06-26 05:41:00,22.756452557271498
2025-06-26 05:42:00,22.772567812401874
2025-06-26 05:43:00,22.753009824253542
2025-06-26 05:44:00,22.715204401841437
2025-06-26 05:45:00,22.710669767854665
2025-06-26 05:46:00,22.69810548465519
2025-06-26 05:47:00,22.712877171960812
2025-06-26 05:48:00,22.742041562739246
2025-06-26 05:49:00,22.775053330079977
2025-06-26 05:50:00,22.805320668812513
2025-06-26 05:51:00,22.816986215010456
2025-06-26 05:52:00,22.866262414286826
2025-06-26 05:53:00,22.821349199326914
2025-06-26 05:54:00,22.794955096819066
2025-06-26 05:55:00,22.82870062322256
2025-06-26 05:56:00,22.790005419422393
2025-06-26 05:57:00,22.783973531440893
2025-06-26 05:58:00,22.759806236452356
2025-06-26 05:59:00,22.785776674142102
2025-06-26 06:00:00,22.884226716564886
2025-06-26 06:01:00,22.822067635833164
2025-06-26 06:02:00,22.819206449281342
2025-06-26 06:03:00,22.80959011570137
2025-06-26 06:04:00,22.773918639663044
2025-06-26 06:05:00,22.755967981876264
2025-06-26 06:06:00,22.767089304064488
2025-06-26 06:07:00,22.780287692963604
2025-06-26 06:08:00,22.685163138478636
2025-06-26 06:09:00,22.595709688846206
2025-06-26 06:10:00,22.614107255894943
2025-06-26 06:11:00,22.607300392578065
2025-06-26 06:12:00,22.625139720701895
2025-06-26 06:13:00,22.64242643941092
2025-06-26 06:14:00,22.63590377696751
2025-06-26 06:15:00,22.634528119913675
2025-06-26 06:16:00,22.620787502441775
2025-06-26 06:17:00,22.60737278418829
2025-06-26 06:18:00,22.60154032478663
2025-06-26 06:19:00,22.61575325232571
2025-06-26 06:20:00,22.618508170549255
2025-06-26 06:21:00,22.59473141967485
2025-06-26 06:22:00,22.623197590299227
2025-06-26 06:23:00,22.664118571506386
2025-06-26 06:24:00,22.60120515914191
2025-06-26 06:25:00,22.596338722002464
2025-06-26 06:26:00,22.594646530192836
2025-06-26 06:27:00,22.592575684816527
2025-06-26 06:28:00,22.59303205661087
2025-06-26 06:29:00,22.591731023260067
2025-06-26 06:30:00,22.620660324094185
2025-06-26 06:31:00,22.629950816250958
2025-06-26 06:32:00,22.626648971845324
2025-06-26 06:33:00,22.621142434900136
2025-06-26 06:34:00,22.590370069633956
2025-06-26 06:35:00,22.6087315482751
2025-06-26 06:36:00,22.58616985424402
2025-06-26 06:37:00,22.566424716986152
2025-06-26 06:38:00,22.57387781112442
2025-06-26 06:39:00,22.60624732935285
2025-06-26 06:40:00,22.616149183078
2025-06-26 06:41:00,22.592648891995086
2025-06-26 06:42:00,22.617449987737096
2025-06-26 06:43:00,22.62699991228094
2025-06-26 06:44:00,23.059631992831655
2025-06-26 06:45:00,24.374084934344165
2025-06-26 06:46:00,23.229699425410704
2025-06-26 06:47:00,22.770275198207063
2025-06-26 06:48:00,22.630625876961837
2025-06-26 06:49:00,23.17091025704016
2025-06-26 06:50:00,22.81330530455113
2025-06-26 06:51:00,22.767746530237005
2025-06-26 06:52:00,22.61841385748039
2025-06-26 06:53:00,22.91958310071345
2025-06-26 06:54:00,23.057878329099086
2025-06-26 06:55:00,22.57652468814386
2025-06-26 06:56:00,22.483433195498538
2025-06-26 06:57:00,23.795848764130255
2025-06-26 06:58:00,23.013904507047986
2025-06-26 06:59:00,22.327875087179585
2025-06-26 07:00:00,22.230618235792274
2025-06-26 07:01:00,22.124601482695866
2025-06-26 07:02:00,22.177960079090006
2025-06-26 07:03:00,22.325750717283483
2025-06-26 07:04:00,22.31094899005177
2025-06-26 07:05:00,22.33520226743357
2025-06-26 07:06:00,22.496562028889212
2025-06-26 07:07:00,22.946351605663626
2025-06-26 07:08:00,23.34561919961025
2025-06-26 07:09:00,23.109082519629837
2025-06-26 07:10:00,22.912936152314213
2025-06-26 07:11:00,23.16135590667368
2025-06-26 07:12:00,23.126618708954307
2025-06-26 07:13:00,23.245732719088593
2025-06-26 07:14:00,23.140651649050255
2025-06-26 07:15:00,23.13608304726278
2025-06-26 07:16:00,23.083922035366093
2025-06-26 07:17:00,23.130453252981123
2025-06-26 07:18:00,22.93400348145032
2025-06-26 07:19:00,22.31400856868353
2025-06-26 07:20:00,23.16718663636317
2025-06-26 07:21:00,23.1512060884541
2025-06-26 07:22:00,23.16311711347523
2025-06-26 07:23:00,23.154809208549036
2025-06-26 07:24:00,23.114054211331883
2025-06-26 07:25:00,23.15144367676067
2025-06-26 07:26:00,23.20527776337342
2025-06-26 07:27:00,23.175843915216014
2025-06-26 07:28:00,23.12758605736726
2025-06-26 07:29:00,23.119771394301655
2025-06-26 07:30:00,23.119694589136692
2025-06-26 07:31:00,23.128622105961146
2025-06-26 07:32:00,23.128877055814858
2025-06-26 07:33:00,23.09284936602142
2025-06-26 07:34:00,23.08432992046213
2025-06-26 07:35:00,23.10493201675835
2025-06-26 07:36:00,23.12013056778817
2025-06-26 07:37:00,23.170992398235718
2025-06-26 07:38:00,23.161894694859388
2025-06-26 07:39:00,23.12665240381862
2025-06-26 07:40:00,23.118221560896814
2025-06-26 07:41:00,23.12615374560537
2025-06-26 07:42:00,23.17693528148872
2025-06-26 07:43:00,23.154621946933933
2025-06-26 07:44:00,23.14889964649409
2025-06-26 07:45:00,23.166390295472137
2025-06-26 07:46:00,23.196195077007403
2025-06-26 07:47:00,23.15528562220305
2025-06-26 07:48:00,23.168625699892505
2025-06-26 07:49:00,23.206886263220394
