Time,Rad_Sky,Rad_Water
2025-07-09 12:30:01,52162205.66400395,55286019.34419231
2025-07-09 12:30:02,52526037.99210416,55133078.94541009
2025-07-09 12:30:03,52583967.70850736,55133078.94541009
2025-07-09 12:30:04,51999908.85256849,55070127.607231796
2025-07-09 12:30:05,52014503.12060219,55004703.74888876
2025-07-09 12:30:06,52085076.78373528,55069288.54603709
2025-07-09 12:30:07,52107802.37904407,55114608.77053801
2025-07-09 12:30:08,52076961.94332672,55149873.21870273
2025-07-09 12:30:09,52021801.1776679,55174230.337293215
2025-07-09 12:30:10,51960192.482056886,55278450.415551394
2025-07-09 12:30:11,51993423.301307715,55275927.57673085
2025-07-09 12:30:12,52005584.10876204,55296112.21080733
2025-07-09 12:30:13,52098873.75617504,55321349.18623537
2025-07-09 12:30:14,52060734.54186888,55347434.61151998
2025-07-09 12:30:15,52050188.36063303,55223804.287762165
2025-07-09 12:30:16,52037210.207900435,55295271.09660752
2025-07-09 12:30:17,52029910.8517002,55450164.6288395
2025-07-09 12:30:18,52085076.78373528,55356692.493521355
2025-07-09 12:30:19,52076961.94332672,55389523.336281
2025-07-09 12:30:20,52145962.30608696,55472915.31704906
2025-07-09 12:30:21,52167891.557369396,55481342.91030373
2025-07-09 12:30:22,52112672.92448363,55400469.53081058
2025-07-09 12:30:23,52072093.403781235,55418996.79916482
2025-07-09 12:30:24,52062357.145254776,55379420.301819354
2025-07-09 12:30:25,51994233.96862611,55426577.20120049
2025-07-09 12:30:26,52046943.6401097,55401311.59921308
2025-07-09 12:30:27,52087511.3840183,55486399.83273208
2025-07-09 12:30:28,52176014.90809252,55366793.054610796
2025-07-09 12:30:29,52155707.95609309,55410574.85549575
2025-07-09 12:30:30,52107802.37904407,55489771.2670503
2025-07-09 12:30:31,52150834.99431179,55496514.50216724
2025-07-09 12:30:32,52067225.137758,55460275.358696446
2025-07-09 12:30:33,52143526.064557515,55425734.90377018
2025-07-09 12:30:34,52197139.17637211,55550477.974646926
2025-07-09 12:30:35,52192263.88927619,55520962.825709924
2025-07-09 12:30:36,52163017.9116879,55618820.33476856
2025-07-09 12:30:37,52072093.403781235,55505787.24831833
2025-07-09 12:30:38,52066413.786679715,55467016.45604409
2025-07-09 12:30:39,52039643.46338698,55423208.05728555
2025-07-09 12:30:40,52092380.789731264,55590127.317061454
2025-07-09 12:30:41,52075339.066420086,55540357.44131777
2025-07-09 12:30:42,52164642.42985256,55445952.14920442
2025-07-09 12:30:43,52157332.33747755,55420681.27951014
2025-07-09 12:30:44,52170328.482796445,55462803.21294127
2025-07-09 12:30:45,52256477.082714766,55312936.09776792
2025-07-09 12:30:46,52334572.14606282,55451849.674135774
2025-07-09 12:30:47,52150834.99431179,55269200.342390366
2025-07-09 12:30:48,52004773.335086256,55283496.29928188
2025-07-09 12:30:49,52016935.73791616,55249021.57036442
2025-07-09 12:30:50,52022612.11088346,55250702.966780126
2025-07-09 12:30:51,52065602.44319923,55368476.58833191
2025-07-09 12:30:52,52111049.378943905,55416470.13590419
2025-07-09 12:30:53,52164642.42985256,55409732.70311727
2025-07-09 12:30:54,52091569.20311731,55450164.6288395
2025-07-09 12:30:55,52142713.999245085,55390365.305440396
2025-07-09 12:30:56,52152459.284510314,55392891.25872293
2025-07-09 12:30:57,52115108.29978067,55312094.83090431
2025-07-09 12:30:58,52426586.30047256,55464488.487278074
2025-07-09 12:30:59,52497495.193904206,55420681.27951014
2025-07-09 12:31:00,52145962.30608696,55371001.9461672
2025-07-09 12:31:01,52123226.71133233,55397101.333541766
2025-07-09 12:31:02,52179264.46115582,55476286.262732394
2025-07-09 12:31:03,52756351.27266057,55381104.064556636
2025-07-09 12:31:04,52897942.090643466,55333128.792495735
2025-07-09 12:31:05,52938906.70247401,55306206.17659016
2025-07-09 12:31:06,53032377.13936827,55254906.5913911
2025-07-09 12:31:07,52759622.47780058,55381104.064556636
2025-07-09 12:31:08,52739997.07237513,55242296.29000686
2025-07-09 12:31:09,52659088.58119261,55226325.70690658
2025-07-09 12:31:10,53048785.657455616,55077679.50137465
2025-07-09 12:31:11,52978250.623949826,55443424.75303836
2025-07-09 12:31:12,52451846.088851295,55463645.84629229
2025-07-09 12:31:13,52355734.94719642,55510002.43833806
2025-07-09 12:31:14,52446956.52738258,55296953.33264029
2025-07-09 12:31:15,52272741.11124985,55430788.802867904
2025-07-09 12:31:16,52360619.4002479,55579158.790156536
2025-07-09 12:31:17,52080207.788314804,55580846.17183927
2025-07-09 12:31:18,52196326.609524496,55522649.15368086
2025-07-09 12:31:19,52201202.124600664,55445952.14920442
2025-07-09 12:31:20,52241029.071428895,55353325.88410415
2025-07-09 12:31:21,52239403.12457623,55259951.19280359
2025-07-09 12:31:22,52132157.841661245,55159951.247953825
2025-07-09 12:31:23,52172765.47661474,55108732.67129785
2025-07-09 12:31:24,52023423.051696226,55254065.851203494
2025-07-09 12:31:25,52159768.966545716,55138116.906871855
2025-07-09 12:31:26,52138653.78666328,55112090.39650449
2025-07-09 12:31:27,52083453.75486991,55100338.89246795
2025-07-09 12:31:28,52110237.61757152,55227166.19521955
2025-07-09 12:31:29,51965865.13256332,55263314.41306693
2025-07-09 12:31:30,51961002.837911114,55235571.49813436
2025-07-09 12:31:31,52137841.76694289,55253225.11864865
2025-07-09 12:31:32,52231273.846302465,55201954.86590029
2025-07-09 12:31:33,52260542.80484339,55238933.83301024
2025-07-09 12:31:34,52363875.85430805,55191872.25749493
2025-07-09 12:31:35,52224770.970866315,55214559.67192547
2025-07-09 12:31:36,52128910.05152607,55243977.56430061
2025-07-09 12:31:37,52189013.84986475,55259951.19280359
2025-07-09 12:31:38,52262169.14689545,55236412.07040456
2025-07-09 12:31:39,52158144.53956802,55215400.053385265
2025-07-09 12:31:40,52081830.75639644,55254906.5913911
2025-07-09 12:31:41,52149210.7345085,55233049.82711892
2025-07-09 12:31:42,52283314.36004676,55312094.83090431
2025-07-09 12:31:43,52247533.162835225,55200274.35484463
2025-07-09 12:31:44,52215017.56967184,55250702.966780126
2025-07-09 12:31:45,52166266.978413,55255747.33921136
2025-07-09 12:31:46,52254037.74063839,55324714.63535587
2025-07-09 12:31:47,52347594.80020888,55285178.32158919
2025-07-09 12:31:48,52281687.62278205,55198593.874317646
2025-07-09 12:31:49,52289008.17988561,55277609.46164495
2025-07-09 12:31:50,52213392.10920039,55346593.03168532
2025-07-09 12:31:51,52248346.20846069,55251543.67643695
2025-07-09 12:31:52,52241029.071428895,55383629.7659172
2025-07-09 12:31:53,52296329.35262525,55304523.77262803
2025-07-09 12:31:54,52323992.672357485,55295271.09660752
2025-07-09 12:31:55,52341897.149586275,55371843.74738002
2025-07-09 12:31:56,52318296.5647318,55297794.462106325
2025-07-09 12:31:57,52290635.053957716,55296112.21080733
2025-07-09 12:31:58,52245094.071558505,55334811.71552506
2025-07-09 12:31:59,52298769.880347714,55355850.82971653
2025-07-09 12:32:00,52288194.75425023,55351642.62519756
2025-07-09 12:32:01,52308532.67529087,55286860.37442851
2025-07-09 12:32:02,52253224.64181302,55354167.52500792
2025-07-09 12:32:03,52306091.87394658,55354167.52500792
2025-07-09 12:32:04,52359805.30573611,55321349.18623537
2025-07-09 12:32:05,52306091.87394658,55303682.5820967
2025-07-09 12:32:06,52289008.17988561,55285178.32158919
2025-07-09 12:32:07,52956117.51117635,55419839.035520285
2025-07-09 12:32:08,53443503.37907881,55286019.34419231
2025-07-09 12:32:09,53135801.62004213,55300317.89630326
2025-07-09 12:32:10,53284583.152632125,55360900.92705132
2025-07-09 12:32:11,53168660.05379504,55305364.97079248
2025-07-09 12:32:12,52407849.888068125,55034054.86642486
2025-07-09 12:32:13,52271114.571593106,55111250.953755945
2025-07-09 12:32:14,52322365.17503168,55161631.02634002
2025-07-09 12:32:15,52271927.83762133,55124682.9534927
2025-07-09 12:32:16,52281687.62278205,55161631.02634002
2025-07-09 12:32:17,52390746.240978435,55178430.48920493
2025-07-09 12:32:18,52289821.61312145,55099499.556556575
2025-07-09 12:32:19,52484450.15960015,55042442.61685599
2025-07-09 12:32:20,52482004.43234818,55042442.61685599
2025-07-09 12:32:21,52468961.709280476,55095302.99146691
2025-07-09 12:32:22,52343525.01175864,55065093.35452621
2025-07-09 12:32:23,52988089.34333837,55201954.86590029
2025-07-09 12:32:24,52456735.92400576,55262473.59655195
2025-07-09 12:32:25,52189013.84986475,55313777.37226479
2025-07-09 12:32:26,52262169.14689545,55251543.67643695
2025-07-09 12:32:27,52358177.13951643,55175910.37516214
2025-07-09 12:32:28,52358177.13951643,55201114.60655636
2025-07-09 12:32:29,52386674.43816338,55211198.22240917
2025-07-09 12:32:30,52414366.44496078,55180950.67193526
2025-07-09 12:32:31,52403777.28707096,55213719.29809797
2025-07-09 12:32:32,52341083.22990173,55253225.11864865
2025-07-09 12:32:33,52312600.829545066,55239774.43581053
2025-07-09 12:32:34,52340269.31781821,55165830.60586181
2025-07-09 12:32:35,52310159.91419044,55149873.21870273
2025-07-09 12:32:36,52384231.447693735,55329763.03803857
2025-07-09 12:32:37,52358177.13951643,55371843.74738002
2025-07-09 12:32:38,52313414.48319808,55304523.77262803
2025-07-09 12:32:39,52343525.01175864,55413943.54135217
2025-07-09 12:32:40,52300396.936832175,55286860.37442851
2025-07-09 12:32:41,52361433.50236096,55205315.97959782
2025-07-09 12:32:42,52343525.01175864,55101178.23601055
2025-07-09 12:32:43,52366318.27466724,55166670.54466159
2025-07-09 12:32:44,52386674.43816338,55303682.5820967
2025-07-09 12:32:45,52419254.18191141,55060059.37653018
2025-07-09 12:32:46,52454290.97221772,54682458.279483706
2025-07-09 12:32:47,52419254.18191141,55090267.36518623
2025-07-09 12:32:48,52385860.100405246,55191872.25749493
2025-07-09 12:32:49,52378531.40265273,54863111.30456884
2025-07-09 12:32:50,52315041.813306235,55009734.70519884
2025-07-09 12:32:51,52355734.94719642,55118806.21322033
2025-07-09 12:32:52,52323178.91989419,55597721.66857113
2025-07-09 12:32:53,52353292.82328758,55521805.98587776
2025-07-09 12:32:54,52391560.624346405,55691436.1950835
2025-07-09 12:32:55,52455105.94854464,54959437.5028327
2025-07-09 12:32:56,52432289.48506972,55048314.49617771
2025-07-09 12:32:57,52371203.32062268,55036571.11143343
2025-07-09 12:32:58,52356549.003701866,54694156.48641289
2025-07-09 12:32:59,52363875.85430805,54450474.845461965
2025-07-09 12:33:00,52298769.880347714,54437141.21565385
2025-07-09 12:33:01,52265421.922201246,54393820.398571044
2025-07-09 12:33:02,52245907.09438413,54391321.749651685
2025-07-09 12:33:03,52281687.62278205,54375498.566557
2025-07-09 12:33:04,52298769.880347714,54357180.42445198
2025-07-09 12:33:05,52324806.43242167,54211599.33435401
2025-07-09 12:33:06,52370389.12729327,54340530.769902036
2025-07-09 12:33:07,52332130.61503984,54318058.57330247
2025-07-09 12:33:08,52357363.06780851,54610630.66050722
2025-07-09 12:33:09,52389931.86521217,54809547.37973142
2025-07-09 12:33:10,52302024.02371895,54475480.662326686
2025-07-09 12:33:11,52284941.12771297,54219080.66776644
2025-07-09 12:33:12,52297142.85426551,54307240.60882841
2025-07-09 12:33:13,52244281.05633275,54194145.29066214
2025-07-09 12:33:14,52350036.76449269,54321387.4369432
2025-07-09 12:33:15,52367946.59291349,54222405.90301375
2025-07-09 12:33:16,52348408.78070235,54298919.97434786
2025-07-09 12:33:17,52332944.451113224,54461309.85690907
2025-07-09 12:33:18,52386674.43816338,54389656.021825165
2025-07-09 12:33:19,52372017.52155355,54325548.68801645
2025-07-09 12:33:20,52290635.053957716,54394653.29679208
2025-07-09 12:33:21,52290635.053957716,54348855.21600197
2025-07-09 12:33:22,52313414.48319808,54378829.53428259
2025-07-09 12:33:23,52306091.87394658,54282280.9922712
2025-07-09 12:33:24,52337013.74549474,54347190.26579429
2025-07-09 12:33:25,52275994.28176643,54312233.35542322
2025-07-09 12:33:26,52314228.144451775,54267308.515402585
2025-07-09 12:33:27,52307719.067242116,54308904.827200964
2025-07-09 12:33:28,52330502.96569599,54286440.451932564
2025-07-09 12:33:29,52280060.91591885,54302248.136663854
2025-07-09 12:33:30,52288194.75425023,54330542.44087187
2025-07-09 12:33:31,52260542.80484339,54342195.59813443
2025-07-09 12:33:32,52222332.517972715,54338865.97216328
2025-07-09 12:33:33,52245094.071558505,54322219.671911374
2025-07-09 12:33:34,52210141.27945197,54338865.97216328
2025-07-09 12:33:35,52293888.8933076,54355515.32177355
2025-07-09 12:33:36,52231273.846302465,54337201.204918146
2025-07-09 12:33:37,52226396.644127086,54338033.584729016
2025-07-09 12:33:38,52186576.40009833,54349687.70254109
2025-07-09 12:33:39,52193888.954577565,54347190.26579429
2025-07-09 12:33:40,52232086.73993077,54397152.03719914
2025-07-09 12:33:41,52215017.56967184,54346357.80212562
2025-07-09 12:33:42,52235338.390441775,54343860.45686056
2025-07-09 12:33:43,52202014.73704456,54303080.19630039
2025-07-09 12:33:44,52188201.35901007,54326380.96110081
2025-07-09 12:33:45,52140277.84890002,54267308.515402585
2025-07-09 12:33:46,52150022.86061076,54348855.21600197
2025-07-09 12:33:47,52155707.95609309,54320555.2095982
2025-07-09 12:33:48,52193888.954577565,54314729.83163258
2025-07-09 12:33:49,52171140.8064702,54283944.75326729
2025-07-09 12:33:50,52181701.7057441,54275626.25319831
2025-07-09 12:33:51,52128910.05152607,54275626.25319831
2025-07-09 12:33:52,52111049.378943905,54197469.61126681
2025-07-09 12:33:53,52126474.28870924,54214093.043559305
2025-07-09 12:33:54,52163830.16697074,54236539.51337942
2025-07-09 12:33:55,52202014.73704456,54194976.359380454
2025-07-09 12:33:56,52174390.17715545,54197469.61126681
2025-07-09 12:33:57,52157332.33747755,54239033.908582926
2025-07-09 12:33:58,52111049.378943905,54223237.23088103
2025-07-09 12:33:59,52063168.458344296,54258159.88424237
2025-07-09 12:34:00,52022612.11088346,54246517.50580113
2025-07-09 12:34:01,52119167.41057641,54290600.10216506
2025-07-09 12:34:02,52119167.41057641,54190821.092007436
2025-07-09 12:34:03,52081019.26855667,54241528.37238758
2025-07-09 12:34:04,52121602.96823466,54239033.908582926
2025-07-09 12:34:05,52111049.378943905,54278121.72317991
2025-07-09 12:34:06,52052621.98079999,54248180.611251645
2025-07-09 12:34:07,52027477.86971903,54240696.876830295
2025-07-09 12:34:08,52045321.32543328,54214924.29520522
2025-07-09 12:34:09,52050188.36063303,54217418.0958756
2025-07-09 12:34:10,52093192.38394338,54212430.563133694
2025-07-09 12:34:11,52072093.403781235,54191652.13023835
2025-07-09 12:34:12,52102932.10714229,54150109.55527298
2025-07-09 12:34:13,52036399.13793314,54202456.320831195
2025-07-09 12:34:14,52081830.75639644,54172540.17923726
2025-07-09 12:34:15,52104555.50071663,54218249.37800993
2025-07-09 12:34:16,52086699.84299263,54213261.79953548
2025-07-09 12:34:17,52061545.839762986,54204118.618328266
2025-07-09 12:34:18,52081019.26855667,54249843.74719192
2025-07-09 12:34:19,52040454.56374405,54212430.563133694
2025-07-09 12:34:20,52060734.54186888,54160908.79177113
2025-07-09 12:34:21,52085076.78373528,54189159.038411155
2025-07-09 12:34:22,52039643.46338698,54189159.038411155
2025-07-09 12:34:23,52064791.10731648,54206612.12173871
2025-07-09 12:34:24,52064791.10731648,54222405.90301375
2025-07-09 12:34:25,52114296.50041665,54231550.928774826
2025-07-09 12:34:26,52116731.92130383,54231550.928774826
2025-07-09 12:34:27,52078584.850624904,54244854.430840306
2025-07-09 12:34:28,52104555.50071663,54212430.563133694
2025-07-09 12:34:29,52131345.88272962,54217418.0958756
2025-07-09 12:34:30,52133781.782320194,54209105.69374719
2025-07-09 12:34:31,52158956.74925746,54195807.43572068
2025-07-09 12:34:32,52141089.891416356,54243191.38636917
2025-07-09 12:34:33,52065602.44319923,54192483.17609107
2025-07-09 12:34:34,52037210.207900435,54236539.51337942
2025-07-09 12:34:35,52008827.2794357,54231550.928774826
2025-07-09 12:34:36,52031532.87767427,54268140.25488011
2025-07-09 12:34:37,52110237.61757152,54252338.508270815
2025-07-09 12:34:38,52119979.25553079,54209936.89966078
2025-07-09 12:34:39,52145150.21797843,54216586.82136335
2025-07-09 12:34:40,52175202.53882448,54228225.35815054
2025-07-09 12:34:41,52215830.311306916,54242359.87556715
2025-07-09 12:34:42,52124038.59427889,54264813.3427058
2025-07-09 12:34:43,52127286.20204966,54302248.136663854
2025-07-09 12:34:44,52119167.41057641,54273962.64465758
2025-07-09 12:34:45,52081019.26855667,54267308.515402585
2025-07-09 12:34:46,52134593.7640475,54273962.64465758
2025-07-09 12:34:47,52162205.66400395,54294759.942969784
2025-07-09 12:34:48,52184951.471583486,54315562.00561534
2025-07-09 12:34:49,52146774.401794195,54268972.00198026
2025-07-09 12:34:50,52131345.88272962,54315562.00561534
2025-07-09 12:34:51,52141901.9415314,54273962.64465758
2025-07-09 12:34:52,52106178.92468387,54253170.1105421
2025-07-09 12:34:53,52090757.62410144,54296423.93265217
2025-07-09 12:34:54,52124038.59427889,54333871.76190828
2025-07-09 12:34:55,52179264.46115582,54318058.57330247
2025-07-09 12:34:56,52192263.88927619,54303912.26355989
2025-07-09 12:34:57,52184951.471583486,54313897.66527301
2025-07-09 12:34:58,52174390.17715545,54328045.53013939
2025-07-09 12:34:59,52119167.41057641,54308904.827200964
2025-07-09 12:35:00,52098873.75617504,54312233.35542322
2025-07-09 12:35:01,52106990.64806484,54270635.51904862
2025-07-09 12:35:02,52104555.50071663,54251506.91362205
2025-07-09 12:35:03,52137029.75482109,54244854.430840306
2025-07-09 12:35:04,52079396.315670915,54214924.29520522
2025-07-09 12:35:05,52134593.7640475,54277289.89222999
2025-07-09 12:35:06,52145150.21797843,54272299.066607706
2025-07-09 12:35:07,52152459.284510314,54273130.85182132
2025-07-09 12:35:08,52137841.76694289,54229056.73937324
2025-07-09 12:35:09,52197951.75081913,54254833.337952085
2025-07-09 12:35:10,52208515.91017476,54282280.9922712
2025-07-09 12:35:11,52180889.28328221,54298919.97434786
2025-07-09 12:35:12,52124038.59427889,54268140.25488011
2025-07-09 12:35:13,52097250.46897532,54486318.647424884
2025-07-09 12:35:14,52115108.29978067,54586422.43621228
2025-07-09 12:35:15,52165454.7003333,54984582.6705086
2025-07-09 12:35:16,52140277.84890002,54856414.10516026
2025-07-09 12:35:17,52154895.77679913,54836325.43634741
2025-07-09 12:35:18,52223958.145635456,54207443.30478622
2025-07-09 12:35:19,52193076.418127224,54235708.06355625
2025-07-09 12:35:20,52170328.482796445,54216586.82136335
2025-07-09 12:35:21,52158144.53956802,54202456.320831195
2025-07-09 12:35:22,52119979.25553079,54237370.970824935
2025-07-09 12:35:23,52142713.999245085,54258159.88424237
2025-07-09 12:35:24,52164642.42985256,54239033.908582926
2025-07-09 12:35:25,52167891.557369396,54209105.69374719
2025-07-09 12:35:26,52177639.66942596,54234045.18677679
2025-07-09 12:35:27,52162205.66400395,54229888.12821818
2025-07-09 12:35:28,52177639.66942596,54257328.23623603
2025-07-09 12:35:29,52210141.27945197,54257328.23623603
2025-07-09 12:35:30,52167079.26409173,54289768.15687281
2025-07-09 12:35:31,52176827.2849597,54273130.85182132
2025-07-09 12:35:32,52189826.348318696,54243191.38636917
2025-07-09 12:35:33,52106990.64806484,54258991.53987132
2025-07-09 12:35:34,52116731.92130383,54240696.876830295
2025-07-09 12:35:35,52157332.33747755,54229056.73937324
2025-07-09 12:35:36,52134593.7640475,54254833.337952085
2025-07-09 12:35:37,52164642.42985256,54240696.876830295
2025-07-09 12:35:38,52151647.13561168,54298087.952826336
2025-07-09 12:35:39,52207703.23693542,54303080.19630039
2025-07-09 12:35:40,52106178.92468387,54273130.85182132
2025-07-09 12:35:41,52050999.559757754,54326380.96110081
2025-07-09 12:35:42,52000719.58066233,54252338.508270815
2025-07-09 12:35:43,52071282.00711617,54273130.85182132
2025-07-09 12:35:44,52073716.219904944,54240696.876830295
2025-07-09 12:35:45,52086699.84299263,54263981.63371881
2025-07-09 12:35:46,52102120.421752475,54293927.95956303
2025-07-09 12:35:47,52079396.315670915,54258991.53987132
2025-07-09 12:35:48,52119979.25553079,54248180.611251645
2025-07-09 12:35:49,52122414.835984305,54291432.05508021
2025-07-09 12:35:50,52086699.84299263,54252338.508270815
2025-07-09 12:35:51,52051810.76648009,54240696.876830295
2025-07-09 12:35:52,51995855.32605361,54257328.23623603
2025-07-09 12:35:53,51962623.57240912,54291432.05508021
2025-07-09 12:35:54,51973159.08730922,54317226.37645027
2025-07-09 12:35:55,52013692.26335847,54244854.430840306
2025-07-09 12:35:56,51998287.419171706,54252338.508270815
2025-07-09 12:35:57,52063979.779031515,54224068.566370435
2025-07-09 12:35:58,52055866.914055794,54256496.59585217
2025-07-09 12:35:59,51995855.32605361,54284776.64519952
2025-07-09 12:36:00,52018557.52077797,54196638.51968278
2025-07-09 12:36:01,51987748.84279111,54261486.55249344
2025-07-09 12:36:02,51947227.82150312,54252338.508270815
2025-07-09 12:36:03,51947227.82150312,54282280.9922712
2025-07-09 12:36:04,51949658.54722745,54254001.72043583
2025-07-09 12:36:05,51952089.34131894,54219080.66776644
2025-07-09 12:36:06,51969917.25367845,54147617.60668787
2025-07-09 12:36:07,51965054.731129944,54131006.36902651
2025-07-09 12:36:08,51961813.201361895,54190821.092007436
2025-07-09 12:36:09,51951279.06902544,54223237.23088103
2025-07-09 12:36:10,51976401.042486235,54210768.11319635
2025-07-09 12:36:11,51946417.59478768,54197469.61126681
2025-07-09 12:36:12,51966675.54159319,54222405.90301375
2025-07-09 12:36:13,51938315.7454285,54226562.61857185
2025-07-09 12:36:14,51968296.38244267,54163401.106186554
2025-07-09 12:36:15,51932644.90285234,54194145.29066214
2025-07-09 12:36:16,51935075.21837938,54111907.21439716
2025-07-09 12:36:17,52010448.91035487,54220743.27014576
2025-07-09 12:36:18,51980453.65738277,54208274.4954557
2025-07-09 12:36:19,51959382.13379907,54226562.61857185
2025-07-09 12:36:20,51901057.02214494,54208274.4954557
2025-07-09 12:36:21,51909155.37732837,54168385.94079934
2025-07-09 12:36:22,51936695.46671158,54199962.9317503
2025-07-09 12:36:23,51994233.96862611,54219080.66776644
2025-07-09 12:36:24,52067225.137758,54185835.02268038
2025-07-09 12:36:25,52064791.10731648,54268972.00198026
2025-07-09 12:36:26,52094815.59516181,54243191.38636917
2025-07-09 12:36:27,51990991.34493375,54205780.946313255
2025-07-09 12:36:28,51980453.65738277,54229056.73937324
2025-07-09 12:36:29,51990991.34493375,54278953.5617526
